Zeitstempel,Enter your personal code or first name,Which sampling method did you use?,How long do you believe the mind wandering lasted approximately?,"Was your mind wandering social?
(this could mean anything from a conversation to only feeling the ""presence"" of others)","What was the type of interaction? 
(Select all that apply)",Felt Purpose (Select all that apply),Where emotions present in your mind wandering episode?,What was the general valence of your emotions? (Select all that apply),Rate overall intensity of emotions,"Did you feel like you decided to mind wander at some point?
(at the beginning or during the episode)",Did you feel as if you had control over your mind wandering during the episode?,How easily could you have stepped out of mind wandering?,How aware were you about your environment?,"Describe the mood of your mind wandering episode in max. three words. 
(For example joyful, kind, grateful, connected, focused, curious, mindful, relaxed, neutral, empty, playful, disinterested, distracted, restless, tired, anxious, overwhelmed, melancholic...)","Please describe your mind wandering: the context, where have you been, what did you do, and how did it start and end?",Describe what it was about (content) and how you experienced it (how it presented itself to you).,"Your comments: please add here any comments about the episode or the survey that you find relevant. Special cases of MW experience, something that happened, but didn't appear in the questionnaire, anything."
15.12.2022 16:01:25,1384,Purposeful sampling,< 1 Minute,Yes,"Conversation, Activity, Observed by others","Planning, Problem solving, Playing around, Simulating",Yes,Negative,3,No,I don't know,3,3,Nervous,"Ich sitze im Wohnzimmer, Pause vom vortrag, schäle Mandarinen, gerade Kaffee & Kuchen gemacht. Bin auf der Couch, Teller mit Kuchen & Mandarinen vor mir. Während dem Schälen startet die Episode, geht für ca eine halbe Minute und endet in der gleichen Situation","Während ich schäle fange ich an über den Vortrag nachzudenken. Ich habe bis jetzt nur das ‚Gerüst‘ fertig. Gleichzeitig bin ich am späten Nachmittag aus und bin leicht gestresst von meiner fehlenden Zeit. Während ich also schäle, fühle ich leichten Stress und ich denke über den Vortrag nach, d.h. Weniger über den Inhalt, als dass ich gestresst davon bin dass es noch viel Arbeit ist. Ich bin mir unsicher wie, aber in meiner Erinnerung stelle ich mir mich selbst in der vortragssituation im Seminar vor. Ich weiß jedoch noch nicht worüber ich inhaltlich spreche, deswegen fällt es mir schwer zu sagen, ob etwas und wenn ja was genau ich sage, aber ich bin mir sicher, dass ich (nicht jemand anderes) spreche.
Es sind auf jeden Fall andere Leute anwesend, auch wenn ich nicht wirklich die Individuen die ich im Seminar erwarte vor mir sehe, sondern eher auf diffuse Art und Weise ‚weiß‘ wer anwesend ist. Die Episode hat im Kontext von der Arbeit die ich eigentlich gerade tue (oder tun sollte) stattgefunden. Ich habe nicht das Gefühl, willentlich angefangen zu haben gedanklich zu wandern, sondern mich eher plötzlich in der Vorstellung der vortragssituation wiedergefunden. Meine generelle Grundstimmung ist — wie erwähnt — leicht gestresst, da ich das Gefühl habe wenig Zeit zu haben. Zusätzlich bin ich leicht nervös während ich mir vorstelle den Vortrag zu halten. Abschließend, muss während ich an den morgigen Vortrag denke auch an die Vorträge denken die wir bisher gehalten haben und dass sie deutlich weniger stressig als in meiner Vorstellung davor waren.",
15.12.2022 22:52:06,1384,Purposeful sampling,< 1 Minute,No,,"Playing around, Simulating",I don't know,,,Yes,Yes,5,3,Focused,"Um mich herum sind viele Menschen, aber mein mindwandering involviert nur mich selbst.
Während ich den Film schaue muss ich ans snowboarden denken. Ichspüre das Bedürfnis zu boarden und fange an mir vorzustellen wie ich auf der Piste bin und fahre. Das geht eine Weile, bis mir auffällt dass ich mich nicht auf den Film konzentriere.","Ich sehe aus der egoperspektive und bin von Anfang der Episode an in Fahrt, d.h. Ich bin nicht ‚losgefahren‘, sondern von Anfang an in Fahrt. Parallel dazu denke ich an die Form und ausführung der Schwünge und kantenwechsel auf dem Board. Ich führe die Bewegungen im Geist aus (jedoch ohne die im echten Leben dazugehörige Anstrengung), was wieder übergeht in das Gefühl der Geschwindigkeit und des Fahrens auf einem Snowboard als Ganzes (ohne Fokus auf Körperposition und Bewegung.)",
16.12.2022 19:15:34,1384,Purposeful sampling,< 1 Minute,No,,"Playing around, Trying out/Feeling Out",No,,,No,Yes,5,5,"Curious, mindful","In the neuroscience seminar, sitting in lecture, listening to presentations about Parkinson, im having one arm on chair next to me. The presentation is about something regarding motor action, which makes me think of the three ‚bad‘ fingers in my left hand. The I’m putting the very same hand on The back of the chair and anstatt to tap until I notice what I’m doing and stop, focusing back on the presentation ","I focus completely on the tapping movement of my single fingers, doing the movement with on and as I lift it up again, I’m switching focus on the next fingers and so forth (and back).  I do this for a few seconds. As the movements are very small, rhythmic and coordinated in tune with the other fingers, it is somewhat demanding, even exhausting especially for my leftmost three fingers, which are kind of hard to move like this. As I do this, my focus shifts to my impaired left hand, but not really as a memory, rather as unformulated thoughts about my capacities and abilities that are ‚missing‘ (in comparison when it was fine). Then I kind of shift back to my still tapping fingers,. I stop tapping, and focus back on the presentation, which ends the mindwandering episode",
17.12.2022 17:53:39,1384,Purposeful sampling,< 1 Minute,Yes,Activity,Planning,No,,,Yes,Yes,5,4,Neutral,"Ich sitze zu Hause, draußen mit Lilly und rauche. Wir unterhalten uns und uns fällt au f dass das unser letztes Wochenende in Ljubljana vor Weihnachten ist. Das bringt mich darauf, dass ich noch Sachen packen — vorher aber noch Sachen waschen muss und dass auch fertige Wäsche in der Waschmaschine ist. Vor meinem inneren Auge stelle ich mir volle Waschmaschine mit der fertigen Wäsche vor, danach wie ich die Wäsche aufhänge und danach an die noch ungewaschene Wäsche im Flur, dann endet die Episode und ich konzentriere mich wieder auf die momentane Situation.","Die Episode hat gestartet mit dem Gedanken dass wir in 2 Tagen nach Hause fahren, was mich wiederum darauf gebracht hat, dass ich meine Sachen noch packen muss. Beides hat sich angefühlt wie sehr schnell aufeinanderfolgende eindrücke, die schwer einer Form zuzuordnen sind.
Darauf fällt mir ein dass ich, bevor ich packe, noch Wäsche waschen und auch fertige wäsche in der Waschmaschine ist. Vor meinem inneren Auge sehe ich zuerst den Haufen wollwäsche der im Flur liegt, ich schaue (aus meiner Perspektive) ungefähr aus Richtung Schrank im Flur auf den Haufen auf dem Parkettboden, hinter dem Haufen ist der Wäschekorb gefüllt mit weißem stoff, der Haufen auf dem Boden enthält auf jeden Fall grün und Grau, ich ‚sehe aber keine einzelnen Kleidungsstücke‘ sondern eher ‚den haufen‘. Ich habe das Bedürfnis den Haufen auf dem Boden in die Waschmaschine zu tun, muss aber vorher die fertige Wäsche aufhängen. Das Bild vor meinem inneren Auge (beide Bilder waren quasi ‚Standbilder‘) wechselt zu einem Bild von der offenen Waschmaschine, mit einem ebenfalls (sogar noch weniger) nicht definierbaren bunten Stoff. Darauf folgt wieder ein szenenwechsel, in dem ich diesmal (auch aus meiner Perspektive) die Wäsche auf den kaputten, schiefen Ständer hänge.",
23.12.2022 12:48:30,1384,Purposeful sampling,< 1 Minute,Yes,"Observing / Analysing others, Observing myself but from my own perspective","Problem solving, Imaginination of a different visual perspective on the same situation ",No,,,Yes,Yes,5,6,"Neutral, observant, passive ","Im sitting on the bed in the old room of my brother, meditating. Im aware, that soon, i don’t know exactly when,a friend of mine will come or and we’ll go visit another friend. 
As Im meditating, my thoughts drift away from the focus of my meditation (which I only notice afterwards of course) and I start to mindwander as described in the following. The episode does not last longer than a few seconds, but is very salient, as i do ‚think alot‘ otherwise, right now and I also intent to not think at all. ","As I sit there, expecting my friend to arrive any minute (im explicitly and consciously having this expectation) and from there I think of how the room I’m in would look like from outside the window, looking in from the street. First I have this in my awareness as some kind of ‚question‘, that i ask myself. I have the feeling, that this question was there in a rather unformulated form, I.e. I don’t really think — or i don’t remember — that I heard it, or spoke it Inneres as such.
Following this thought, I imagine the ‚answer‘ to this question: I picture, in my imagination and income form of ‚still image‘, the view from outside into the window of the room — standing on the street‘ into the window. There is a stark contrast between the dark outside and the lit window, creating with its frames some kind of picture on The wall. I see the curtains covering a bit of this ‚picture‘. I also ‚see myself‘ sitting on the bed, as well as the monitor of the PC positioned in a straight line from The window to the other end of the room, ‚in between the desk and the window‘. Then I notice my mindwandering, that i was actually ‚supposed’ to be concentrating on my meditation, as well as that I want to write it down immediately, as I forget these episodes really quickly. 
The Episode in general, felt like a reaction to the question of ‚how the room looks‘ from outside, in which I pictured the answer before my inner eye and from my own perspective. Further, even if there was no social interaction at all, I have the feeling that the Episode also had a social aspect, in that it started with being aware, that in a few minutes at max. My friend will probably arrive. 
I feel like the whole episode was rather neutral, regarding the emotional Range of it. It was mainly a relatively neutral ‚picturing‘, if anything I felt a bit stressed, because of the mentioned — only few — minutes, I have left being alone.",
24.12.2022 22:07:08,1384,Purposeful sampling,< 1 Minute,Yes,Activity,"Planning, Imagination of future",Yes,Positive,4,No,Yes,5,5,"Joyful, excited","Im sitting at home, meditating and concentrating, until my mind starts to wander to my expectations of the further unfolding of the evening. This goes on for a few second, until i notice that I was trying to meditate before and go backstory concentrating on my breath.","While meditating, the things I expect to happen this evening come to my mind. I think of how much time is left before we‘re going out to eat. I also think about the things that I wanted to do before we’re going. In relatively fast succession, I think about the fact that I wanted to hang out with my brother in the afternoon (which is right now), but that I also have to shower before eating, as well as about what I’ll wear. Then I ‚snap back‘ to reality, notice my own mindwandering and stop it. 
For this episode, it is very hard to describe, or maybe also just to remember a specific form of my mindwandering, I.e. there wasn’t really a coherent succession of inner speech or hearing, although some impressions i think at least included some visual impression, e.g. there was a ‚flash‘ of a (very ‚blurry‘) image of me looking into the bathroom (from my perspective, standing in the door) but only after explicitly knowing I’ll have to  before going. Other than that, it feels like instead of imagining a situation or a conversation, etc., it felt like just the presence of some tasks I have to do, of which I know what they specifically are, but without ‚playing them out‘ as they are enacted.
 
Throughout the whole episode, there was a mood i would describe as a mixture of anticipation, being a bit excited, as well as slightly stressed.",
26.12.2022 13:46:20,1384,Purposeful sampling,< 1 Minute,Yes,"Conversation, Observed by others, Observing / Analysing others","Planning, Imagination of future",Yes,Neutral,3,Yes,Yes,5,5,"Relaxed, neutral","As I’m watching a series with my brother in his old room at our parents place, I’m looking at my watch as I start thinking about today’s evening. I imagine the bar were going to and who’ll be there. Then I —in what feels like a rather conscious decision— I focus back on he to and the episode ends.","As I’m Watching, I have to think of the fact that I’ll be leaving soon. Together with this thought (or rather immediately following it) comes to me a certain feeling of nagging that kind of disrupts my otherwise very relaxed mood. I imagine myself being ‚out‘ this evening, which takes the form of a rather ‚blurry‘, incomplete scenery. I know that I sit, at a table and with others, although it feels rather like only some ‚presence‘, but without actually visible people. The same goes for the interior of the place I’m at (i know its inside a bar), I don’t see specific material objects, not even the table but of the table I at least know it’s there. Then I imagine myself saying ‚im not getting old today‘, even though I know it’s not true.  
Then I decide to ‚stop‘ ruminating and tell myself to ‚chill‘ (Innerly, I actually say ‚Ach chill digga‘) and put my attention back to the tv",
26.12.2022 14:47:43,1384,Purposeful sampling,< 1 Minute,No,,"Playing around, Procrastinating ",No,,,Yes,Yes,5,5,Bored,"Im sitting on the couch, working on university stuff. I feel very unmotivated and yet I know it is actually not that hard or difficult. Nevertheless I decide to close the tab with the document and open YouTube. There I scroll through the page, without actually playing a video until I feel a bit stupid and close yt and start to write down a description of what just happened.","The content of this mindwandering Episode (if it counts as such) is actually kind of Hard to describe. If anything I would rather say, that in mindwandering there was a ‚loss of content‘ (although an intended one) in that there was way ‚less salient things happening‘ in my experience after I decided to ‚mindwander‘. As I’m scrolling, I’m not even looking at the titles, I just let the thumbnails of the videos pass by my eye, I don’t notice my own finger moving in order to scroll and I’m also less aware of my surroundings and taken up by the ever changing surface of my iPad. Then, I innerly tell myself ‚this is stupid‘ (I hear it in my head, but idk if it’s my own voice), which is followed by my stopping to scroll and closing YouTube, as well as the episode of mindwandering ",
27.12.2022 13:50:32,1384,Purposeful sampling,< 1 Minute,Yes,"Activity, Observing / Analysing others",Playing around,I don't know,,,No,Yes,4,5,"Curious, funny","Im at The Christmas oratorio in Leipzig. It’s in the middle of the concert. While sitting and listening to the oratorio, the alto starts one of her solo parts. A few seconds into the solo and I feel a sense of absurdity. From there my attention is pulled toward this feeling of absurdity, which I cannot really explain but am trying to nevertheless. Thinking about this, I have The strong urge to laugh, but of course I’m holding it back, then I try to concentrate on listening only, thus ending the episode","This episode was kind of funny, but also difficult to describe, as I really don’t know how to engage or put into words this feeling of absurdity. Somehow, the simultaneous presence of the (very beautifully sung) solo with the ‚over-The-top‘ mimics of the singer herself just seems very weird to me, such that there is a strong urge to laugh. I imagine myself laughing right now, that is in my mind I see myself sitting where I sit right now ( not from my own perspective, but rather looking at myself) with an undefined Mass of other people around me (I only ‚know’ of a few single individuals that they sit where they sit, the rest is just a homogeneous Mass of individuals) and imagine myself laughing, which in turn makes me feel very embarassed. I then try to push away this laughing urge, which is quite difficult at first, but as I stop thinking about the singers, the oratorio etc. and just try to listen to the music, it starts to fade, until it is gone, ending the mindwandering as well",
27.12.2022 13:52:37,1384,Purposeful sampling,< 1 Minute,Yes,"Conversation, Observed by others, Observing / Analysing others","Passive replaying of a memory, Active replaying of a memory, Playing around",Yes,Negative,2,Yes,Yes,6,5,"Distracted, uncomfortable ","Im sitting in the oratorio, trying to concentrate on the music, but I’m aware that I don’t really manage that very well. As I let my gaze wander over the other spectators in the rows in front of me, I notice that there is exactly one single person wearing a mask. From there I ‚lose‘ my focus on the concert completely and — without any real thoughts on the fact itself of that person wearing a mask — I have to think about the last 2 years of everyone wearing masks and how weird interactions were with that and that they are even weirder if only one person wears a mask. Then, I become aware of the music again, such that i try to put my attention back to that.","I just saw the person with the mask whispering something to her neighbor which immediately makes me think (I talk to myself in my head): ‚It’s so weird to talk to someone like that‘. I think of the time, everyone had to wear masks (weirdly I only imagine myself having a mask on, which comes to me kind of as a feeling of the mask on my face, but I don’t see myself wearing a mask or anything. Then in my mind, I replay the interaction between the two, then I picture myself having to talk to the person wearing a mask, which feels very weird, as I only can picture the upper half of a face, while the lower one is covered, all while listening without seeing the mimics of the other person. I think there was the feeling of some kind of judgement of an ‚imbalance‘ in such a type of conversation and that it feels very weird. If i think back to when I myself was in such a situation before and in real life, talking to someone wearing a mask while not wearing one, as well as the other way around, it just feels kind of weird and uncomfortable. thinking back to my own previous experiences of of this also makes me come back to the concerto and I force myself to stop ruminating, focusing back on the concerto.",
